Linux 6.8.0-49-generic (samoy-pc) 	12/09/2024 	_x86_64_	(12 CPU)

01:40:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:42:36 PM  all   13.63    0.00    3.47   11.28    0.00    0.17    0.00    0.00    0.00   71.44
01:42:37 PM  all   13.13    0.00    3.50    9.97    0.00    0.09    0.00    0.00    0.00   73.32
01:42:38 PM  all   12.07    0.00    3.68   10.02    0.00    0.17    0.00    0.00    0.00   74.06
01:42:39 PM  all   18.23    0.00    3.70   10.23    0.00    0.09    0.00    0.00    0.00   67.76
01:42:40 PM  all   14.08    0.00    3.61   11.24    0.00    0.00    0.00    0.00    0.00   71.07
01:42:41 PM  all   13.26    0.00    3.96   10.85    0.00    0.17    0.00    0.00    0.00   71.75
01:42:42 PM  all   14.27    0.00    4.25   10.96    0.00    0.34    0.00    0.00    0.00   70.18
01:42:43 PM  all   14.29    0.00    4.19   10.86    0.00    0.09    0.00    0.00    0.00   70.57
01:42:44 PM  all   14.42    0.00    4.27   10.67    0.00    0.09    0.00    0.00    0.00   70.56
01:42:45 PM  all   16.01    0.00    4.04   11.62    0.00    0.00    0.00    0.00    0.00   68.33
01:42:46 PM  all   13.08    0.00    3.68   11.03    0.00    0.26    0.00    0.00    0.00   71.97
01:42:47 PM  all   14.03    0.00    4.02   10.86    0.00    0.09    0.00    0.00    0.00   71.00
01:42:48 PM  all   14.68    0.00    3.78   11.07    0.00    0.09    0.00    0.00    0.00   70.39
01:42:49 PM  all   14.86    0.00    3.84   11.19    0.00    0.17    0.00    0.00    0.00   69.94
01:42:50 PM  all   14.04    0.00    4.09   10.13    0.00    0.17    0.00    0.00    0.00   71.57
01:42:51 PM  all   14.21    0.00    3.27   11.02    0.00    0.17    0.00    0.00    0.00   71.32
01:42:52 PM  all   12.81    0.00    4.01   10.42    0.00    0.17    0.00    0.00    0.00   72.59
01:42:53 PM  all   13.92    0.00    4.01   10.50    0.00    0.34    0.00    0.00    0.00   71.22
01:42:54 PM  all   14.47    0.00    3.96   10.94    0.00    0.09    0.00    0.00    0.00   70.54
01:42:55 PM  all   13.88    0.00    3.94   10.63    0.00    0.26    0.00    0.00    0.00   71.29
01:42:56 PM  all   14.57    0.00    3.94   11.23    0.00    0.09    0.00    0.00    0.00   70.18
01:42:57 PM  all   12.68    0.00    4.03   10.37    0.00    0.17    0.00    0.00    0.00   72.75
01:42:58 PM  all   16.02    0.00    3.70   10.59    0.00    0.17    0.00    0.00    0.00   69.51
01:42:59 PM  all   14.44    0.00    3.68   11.03    0.00    0.17    0.00    0.00    0.00   70.68
01:43:00 PM  all   13.88    0.00    4.20   10.54    0.00    0.09    0.00    0.00    0.00   71.29
01:43:01 PM  all   14.38    0.00    3.94    9.93    0.00    0.17    0.00    0.00    0.00   71.58
01:43:02 PM  all   13.13    0.00    3.61   10.56    0.00    0.17    0.00    0.00    0.00   72.53
01:43:03 PM  all   12.88    0.00    3.75   10.07    0.00    0.17    0.00    0.00    0.00   73.12
01:43:04 PM  all   14.04    0.00    3.45   10.85    0.00    0.17    0.00    0.00    0.00   71.49
01:43:05 PM  all   12.34    0.00    4.17   10.55    0.00    0.09    0.00    0.00    0.00   72.85
01:43:06 PM  all   15.15    0.00    3.60   10.19    0.00    0.34    0.00    0.00    0.00   70.72
01:43:07 PM  all   15.63    0.00    4.18   10.93    0.00    0.09    0.00    0.00    0.00   69.17
01:43:08 PM  all   14.15    0.00    3.86   10.55    0.00    0.00    0.00    0.00    0.00   71.44
01:43:09 PM  all   15.50    0.00    3.66   10.82    0.00    0.17    0.00    0.00    0.00   69.85
01:43:10 PM  all   14.54    0.00    3.83   10.54    0.00    0.09    0.00    0.00    0.00   71.00
01:43:11 PM  all   15.42    0.00    3.68   11.14    0.00    0.26    0.00    0.00    0.00   69.49
01:43:12 PM  all   14.41    0.00    3.77   10.72    0.00    0.09    0.00    0.00    0.00   71.01
01:43:13 PM  all   14.26    0.00    3.84   10.85    0.00    0.26    0.00    0.00    0.00   70.79
01:43:14 PM  all   13.91    0.09    3.92   10.67    0.00    0.17    0.00    0.00    0.00   71.25
01:43:15 PM  all   13.57    0.00    3.75   10.49    0.00    0.17    0.00    0.00    0.00   72.01
01:43:16 PM  all   13.98    0.00    4.29   10.98    0.00    0.09    0.00    0.00    0.00   70.67
01:43:17 PM  all   16.54    0.00    4.01    9.80    0.00    0.17    0.00    0.00    0.00   69.48
01:43:18 PM  all   16.04    0.00    4.03   10.72    0.00    0.26    0.00    0.00    0.00   68.95
01:43:19 PM  all   13.79    0.00    3.74   10.13    0.00    0.09    0.00    0.00    0.00   72.26
01:43:20 PM  all   15.17    0.00    4.03   10.97    0.00    0.17    0.00    0.00    0.00   69.67
01:43:21 PM  all   13.69    0.00    3.49    9.95    0.00    0.34    0.00    0.00    0.00   72.53
